Distribuidor;Nombre_Referencia;Precio_Bruto;Precio_Num_€;Bodega;Sociedad Limitada;Ciudad Origen;Pais;Tipo;Volumen (Formato);Descripción;Foto Botella;Precio aprox coste;Enlace Web
Bodeboca;Gamondi Vermouth di Torino Rosso 1L;11.6 €;11.6;Desconocida;;;España;Rojo / Negre;1 Litro;Considerado junto al Vermouth di Torino Bianco el aperitivo tradicional piamontés, este licor con base de vino tinto se elabora siguiendo la antigua receta de la casa fundada por Carlo Gamondi. Su elemento distintivo es la artemisia infusionada con otros 36 botánicos más dando un vermut intenso y aromático.;https://www.bodeboca.com/sites/default/files/wines/2023-06/bot-gamondi-vermouth-di-torino-rosso-1l.png;;https://www.bodeboca.com/vino/gamondi-vermouth-torino-rosso-1l
Bodeboca;Vermouth Rojo La Copa Gonzalez Byass;10.6 €;10.6;Desconocida;;;España;Rojo / Negre;75 cl;"González Byass recupera la tradición de elaborar un Vermouth Rojo a partir de recetas históricas conservadas en los archivos de la bodega desde 1896. Elaborado a partir de nobles soleras de Olorosos y Pedro Ximenez, junto con una cuidada selección de 8 botánicos: Ajenjo, Ajedrea, Clavo, Naranja, Canela, Nuez Moscada, Angélica y Quina. Con 15,5 ºC de alcohol, es un aperitivo perfecto para recuperar la clásica ""hora del vermouth"" que mantiene la misma etiqueta de entonces.";https://www.bodeboca.com/sites/default/files/wines/2021-07/bot-vermouth-lacopa.jpg;;https://www.bodeboca.com/vino/vermouth-rojo-copa-gonzalez-byass
Bodeboca;Dulce;0,00 €;0.0;Desconocida;;;España;Blanco;50 cl;"Los vinos dulces son el broche de oro a una comida o el contraste perfecto para un aperitivo con quesos azules y patés. En Bodeboca puedes encontrar dulces de una riqueza increíble: desde los densos y oscuros elaborados con la Pedro Ximénez de Montilla-Moriles, que saben a pasas y miel, hasta los fragantes moscateles de Málaga o Alicante.

Las variedades blancas como la Moscatel y la Malvasía son protagonistas, junto a la tinta Pedro Ximénez pasificada al sol. Cada zona tiene su técnica para concentrar el azúcar y el sabor de la uva.

¿Te apetece un capricho internacional? No dejes de probar los legendarios sauternes de Francia, los tokaj de Hungría o los oportos vintage. O date un homenaje con joyas elaboradas por bodegas como Toro Albalá, Jorge Ordóñez, Château d'Yquem u Oremus.

Te sorprenderá la versatilidad de estos vinos. No dejes de probarlos con alimentos que contrasten radicalmente con su dulzor como picantes o ahumados.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/dulce
Bodeboca;Vermouth;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1 Litro;"La hora del aperitivo tiene nombre propio: el vermut. Más que una bebida, es un ritual social que ha vuelto con más fuerza que nunca a nuestras barras y terrazas. En Bodeboca puedes encontrar vermuts para todos los gustos: los clásicos rojos de Reus, herbáceos y con ese punto dulce reconfortante; los blancos, más cítricos y ligeros; o los reservas, envejecidos en barrica para ganar complejidad y elegancia.

La base suele ser un vino blanco (de uvas como Macabeo, Airén o Albariño) macerado con una mezcla secreta de botánicos donde no puede faltar el ajenjo, junto a raíces, flores y especias. El color caoba del vermut rojo suele venir del caramelo añadido y/o de especias más oscuras e intensas (como la canela o el clavo).

¿Quieres probar otras referencias internacionales? Viaja con el paladar a Italia, concretamente a Turín, para degustar los estilos amargos que dieron origen a la leyenda. O también puedes empezar descubriendo marcas icónicas y artesanas como Lustau, Yzaguirre, St. Petroni o Carpano.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/vermut?algolia_index_top_rated%5BsortBy%5D=algolia_index_best_sellers&algolia_index_top_rated%5BrefinementList%5D%5Bes.country%5D%5B0%5D=Italia
Bodeboca;61 Vermouth Tempranillo;9.9 €;9.9;Desconocida;;;España;Rojo / Negre;1 Litro;Este producto se presenta como un vermouth de bodega con carácter 100% Tempranillo. Está elaborado a partir de un tinto seleccionado entre los mejores majuelos de pueblos que son sinónimos de buen vino: La Seca, Medina del Campo, Pozal de Gallinas, Serrada y Villanueva de Duero. Aromatizado con botánicos, hereda su nombre del primigenio depósito 61 de Bodega Cuatro Rayas.;https://www.bodeboca.com/sites/default/files/wines/2021-09/bot-61-vermouth-tempranillo.jpg;;https://www.bodeboca.com/vino/61-vermouth-tempranillo#block-productratings
Decantalo;COS Bitter Cerasuolo di Vittoria;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);Decántalo es tu tienda de vinos para comprar vino online. Vino español, vino francés, vino italiano. En Decántalo puedes comprar vino de los principales países vinícolas. Porque amamos el vino tanto como tú. Bienvenido a Decántalo, tu tienda de vinos de confianza.;https://www.decantalo.com/es/56824-large_default/cos-bitter-cerasuolo-di-vittoria.jpg;;https://www.decantalo.com/es/es/cos-bitter-cerasuolo-di-vittoria.html#/1-formato-75_cl/111-ano-2018
Decantalo;Vermut Marnuthem Blanc 75 cl;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);Este vermut blanco se presenta con un amarillo pálido de reflejos dorados que ya anticipa su elegancia. En nariz despliega una intensidad sorprendente, combinando hierbas silvestres, fruta expresiva, delicadas especias, piel de cítricos y unos anisados finísimos que lo elevan. En boca es puro frescor: acidez marcada, presencia de fruta, una complejidad deliciosa y una sutil punta salina que aporta carácter. La piel de cítricos y los anisados vuelven a aparecer, perfectamente integrados con las especias, mientras las sensaciones amargas, muy bien trabajadas, equilibran el conjunto.;https://www.decantalo.com/es/65773-large_default/vermut-marnuthem-blanc-75-cl.jpg;;https://www.decantalo.com/es/es/vermut-marnuthem-blanc-75-cl.html#/1-formato-75_cl/177-ano-sin_anada
Decantalo;Vermouth La Madre Premium;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1.5 Litros (Magnum);Decántalo es tu tienda de vinos para comprar vino online. Vino español, vino francés, vino italiano. En Decántalo puedes comprar vino de los principales países vinícolas. Porque amamos el vino tanto como tú. Bienvenido a Decántalo, tu tienda de vinos de confianza.;https://www.decantalo.com/es/65379-large_default/vermouth-la-madre-premium.jpg;;https://www.decantalo.com/es/es/vermouth-la-madre-premium.html#/1-formato-75_cl/177-ano-sin_anada
Decantalo;Vermouth Valdespino;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);Vermouth Valdespino 75cl es un macerado con una clara identidad gracias al oloroso viejo de Jerez. En nariz es especiado, intenso, donde predominan las notas de oloroso. En boca es cítrico, con especias (clavo y genciana), que se redondea al final con un amargor elegante y final ligeramente dulce.;https://www.decantalo.com/es/36457-large_default/vermouth-valdespino.jpg;;https://www.decantalo.com/es/es/vermouth-valdespino.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Vermut Fernando de Castilla;15.4 €;15.4;Desconocida;;;España;Rojo / Negre;50 cl;La bodega jerezana ha recuperado la centenaria tradición de la zona de elaborar vermut respetando la esencia y la tradición. Sus vinos añejos de altísima calidad de Oloroso y PX han sido impregnados con 27 botánicos que los han transformado en un vermut completamente natural, sin ningún aroma añadido pero de una intensidad sorprendente. Un vermut potente y lleno de copmplejidad que debe disfrutarse con hielo. Elegante y refrescante.;https://www.bodeboca.com/sites/default/files/wines/2020-05/bot-vermut-fernando-de-castilla.jpg;;https://www.bodeboca.com/vino/vermut-fernando-castilla
Bodeboca;Martini Rosso 1L;10.75 €;10.75;Desconocida;;;España;Rojo / Negre;1 Litro;Todo un icono en Italia, el Martini original fue resultado del olfato privilegiado de Luigi Rossi. Mantiene su receta original desde 1863 y solo tres personas en el mundo conocen el secreto. Su esencia la componen una selección de hierbas regionales y un toque de caramelo natural. La artemisa es un ingrediente indispensable y continúa cultivándose a pocos kilómetros de Pessione.;https://www.bodeboca.com/sites/default/files/wines/2020-02/bot-martini-rosso.jpg;;https://www.bodeboca.com/vino/martini-rosso-1l#block-productratings
Bodeboca;Mejor calidad-precio;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1 Litro;"Beber grandes vinos no tiene por qué exigir grandes inversiones. Hemos rastreado nuestro catálogo para demostrarte que el placer no entiende de precios. En Bodeboca seleccionamos para ti esas compras maestras con las que te sentirás bien disfrutando de vinos que ofrecen mucho más de lo que cuestan. Desde tintos jóvenes y robles con mucha fruta hasta blancos frescos para el día a día pasando por los aclamados packs, perfectos para llenar tu bodega personal.

Vinos honestos, bien hechos y accesibles. Encuentra tus etiquetas de cabecera para cualquier ocasión en zonas como Jumilla, Calatayud, Monsant o Castilla y León. Utiliza nuestros filtros para hallar tus vinos favoritos al mejor precio y triunfa con tu elección.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/mejor-calidad-precio
Decantalo;Vermut, o vermouth, una oda al hedonismo.;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1 Litro;¿Vermut rojo? ¿vermut blanco? Tenemos los mejores vermuts para disfrutar de un placentero aperitivo.;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/
Decantalo;Vermouth Yzaguirre Rojo;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1 Litro;Vermouth Yzaguirre Rojo es un vermut dulce. En nariz es intenso, con notas de hierbas y especias- En boca es equilibrado, con un fino amargor final.;https://www.decantalo.com/es/15471-large_default/vermouth-yzaguirre-rojo.jpg;;https://www.decantalo.com/es/es/vermouth-yzaguirre-rojo.html#/53-formato-1_litro/177-ano-sin_anada
Decantalo;Vermut Clàssic Castell del Remei;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);Vermut Clàssic Castell del Remei es un macerado clásico. En nariz es intenso, con aromas a especias (hierba santa, genencia, hierba gitanera o hierba del puerto) y frutas. En boca tiene una entrada dulce, pasando a un final amargo. Buena acidez y sabroso.;https://www.decantalo.com/es/39035-large_default/vermut-classic-castell-del-remei.jpg;;https://www.decantalo.com/es/es/vermut-classic-castell-del-remei.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Vermouth del Professore Rosso;30.5 €;30.5;Desconocida;;;España;Rojo / Negre;1 Litro;"""The Professor"" es el sobrenombre con el que siempre será conocido Jerry Thomas, el barman que se considera pionero y personaje célebre en la mixología de Estados Unidos. El Vermouth del Professore Rosso lleva su nombre como un homenaje. Para su elaboración se seleccionan los mejores vinos blancos y tintos nacionales y de producción propia.";https://www.bodeboca.com/sites/default/files/wines/2020-05/bot-vermouth-del-professore-rosso.jpg;;https://www.bodeboca.com/vino/vermouth-professore-rosso#block-productratings
Bodeboca;Comprar vinos con Pinot noir;0,00 €;0.0;Desconocida;;;España;Blanco;50 cl;"La Pinot noir es la uva de los románticos. Difícil de cultivar y caprichosa, pero capaz de regalar los vinos más elegantes y sutiles del planeta. En Bodeboca descubrirás que, aunque es una rareza en España, alumbra joyas increíbles en zonas frescas y altas, además de ser clave en muchos de los mejores cavas y espumosos rosados del país.

Se caracteriza por su piel fina, que da vinos de color rubí claro con aromas embriagadores a cerezas, violetas y tierra húmeda (sotobosque). No busca la potencia, sino la emoción y la finura. ¿El santo grial? Sin duda, la Borgoña, su hogar espiritual. Aunque también encontrarás grandes versiones en Nueva Zelanda y Oregón (EE.UU). O déjate sorprender por bodegas que la miman en España, como Alta Alella (en Cataluña), Cortijo los Aguilares (en Málaga) o Hispano Suizas (en la Comunidad Valenciana).";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/pinot-noir
Bodeboca;Vermouth Pérez Barquero;9.5 €;9.5;Desconocida;;;España;Rojo / Negre;1 Litro;Vermouth Pérez Barquero se elabora con vino de uvas Pedro Ximénez de la Sierra de Montilla. El vino pasó por las tradicionales tinajas de la zona en las que adquirió propiedades de su corta pero intensa crianza biológica.;https://www.bodeboca.com/sites/default/files/wines/2019-05/bot-vermuth-barquero-2022.jpg;;https://www.bodeboca.com/vino/vermouth-perez-barquero
Decantalo;Vermut de España;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1 Litro;"DOQ Priorat
                                                                                    (Cataluña)";https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/q/pais_espana/
Decantalo;Términos y condiciones;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);"La web “www.decantalo.com” es un servicio ofrecido por Decántalo Vinos SL (en adelante referenciada asimismo como “El Organizador”) con domicilio en C/Puig i Cadafalch 26, 08191 de Rubí; y NIF B65335606. Es una sociedad inscrita en el Registro Mercantil de Barcelona, tomo 42020, folio 11, hoja 399381, Inscripción 1. Puede contactarse con ella en la dirección postal indicada, así como en el teléfono +34 93 446 18 13 y/o en el correo electrónico info@decantalo.com.";https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/content/terminos-y-condiciones-de-uso.html
Decantalo;Vermut de la bodega Astobiza;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);Decántalo es tu tienda de vinos para comprar vino online. Vino español, vino francés, vino italiano. En Decántalo puedes comprar vino de los principales países vinícolas. Porque amamos el vino tanto como tú. Bienvenido a Decántalo, tu tienda de vinos de confianza.;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/q/bodega_astobiza/
Bodeboca;Vermouth Martínez Lacuesta Reserva;16.9 €;16.9;Desconocida;;;España;Rojo / Negre;75 cl;"Vermouth, Vermut o Vermú. Independientemente del nombre elegido (todos son válidos) para esta bebida que vive actualmente un bonito resurgir, se debe saber principalmente que se trata de un vino aromatizado. En el caso del Vermouth Martínez Lacuesta Reserva es un vino blanco base mezclado con ""la conzia"", un extracto de 24 hierbas aromáticas en la que destaca el ajenjo; al que se añade el caramelo (azúcar quemado) que le da su característico color ambarino. Todo ello envejecido en barricas de roble americano durante 2 a 3 años.";https://www.bodeboca.com/sites/default/files/wines/2020-02/bot-martinez-lacuesta_1.jpg;;https://www.bodeboca.com/vino/vermouth-martinez-lacuesta-reserva#block-productratings
Decantalo;Vermouth Rojo La Copa;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1.5 Litros (Magnum);Vermouth Rojo La Copa es un macerado ligero. En nariz destacan aromas especiados, con sutiles notas de clavo, canela e hierbas silvestres. En boca es suave y elegante, con un suave amargor final.;https://www.decantalo.com/es/39028-large_default/vermouth-rojo-la-copa.jpg;;https://www.decantalo.com/es/es/vermouth-rojo-la-copa.html#/1-formato-75_cl/177-ano-sin_anada
Decantalo;Vermouth De Muller Reserva;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);Vermouth De Muller Reserva es un vermut elegante y con carácter. En nariz es dulce, con notas tánicas, amaderadas y fruta pasificada. En boca se mantiene ese dulzor, con notas a frutos secos tostados, cacao y café. Final balsámico, largo y persistente.;https://www.decantalo.com/es/39030-large_default/vermouth-de-muller-reserva.jpg;;https://www.decantalo.com/es/es/vermouth-de-muller-reserva.html#/1-formato-75_cl/177-ano-sin_anada
Decantalo;Vermouth Carpano Classico;0,00 €;0.0;Desconocida;;;España;Blanco;1 Litro;Vermouth Carpano Classico es un vermut que en nariz ofrece aromas que recuerdan a la hierbas aromáticas secas acompañados por especias dulces y frutas confitadas y licorosas. Su paso por boca es redondo, cuenta con un buen equilibrio entre acidez y amargor y pasa persistente con un final afrutado.;https://www.decantalo.com/es/15463-large_default/vermouth-carpano-classico.jpg;;https://www.decantalo.com/es/es/vermouth-carpano-classico.html#/53-formato-1_litro/177-ano-sin_anada
Decantalo;Vermut Les Cousins Donzell;0,00 €;0.0;Desconocida;;;España;Blanco;1 Litro;Olvídate del vermut de siempre: Les Cousins Donzell 2022 llega con fruta a raudales, un punto balsámico y ese amargor que engancha como un buen riff de guitarra. En boca es directo, sabroso y con carácter, ideal para tomarlo frío, con hielo y naranja, mientras las conversaciones se alargan y la tarde se convierte en noche. Un vino aromatizado que no pide permiso, simplemente se disfruta.;https://www.decantalo.com/es/61935-large_default/vermut-les-cousins-donzell.jpg;;https://www.decantalo.com/es/es/vermut-les-cousins-donzell.html#/53-formato-1_litro/216-ano-2022
Bodeboca;Vermut San Bernabé Gran Reserva Especial;15.5 €;15.5;Desconocida;;;España;Rojo / Negre;1 Litro;Este vermut de Vinícola Real (elaboradores de la gama de vinos 200 Monges) es un homenaje a la tierra riojana, madre de grandes vinos. Su nombre procede de la batalla de San Bernabé (1521), cuando muchos logroñeses corrián por los pasadizos de sus bodegas burlando la guardia enemiga con el fin de llegar al río Ebro por la noche y abastecerse de peces y vino con los que poder sobrevivir al asedio francés.;https://www.bodeboca.com/sites/default/files/wines/2016-06/bot-vermut-sanbernabe.jpg;;https://www.bodeboca.com/vino/vermut-san-bernabe-gran-reserva-especial#block-productratings
Decantalo;Astobiza Vermouth Extra;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1.5 Litros (Magnum);un vermouth excepcional. Tuve la ocasión hace 2 años de visitar las bodegas y comprar  también su ginebra y el txacolí. Todos fantásticos;https://www.decantalo.com/es/45212-large_default/astobiza-vermouth-extra.jpg;;https://www.decantalo.com/es/es/astobiza-vermouth-extra.html#/1-formato-75_cl/177-ano-sin_anada
Decantalo;Vermouth Perucchi Gran Reserva;0,00 €;0.0;Desconocida;;;España;Blanco;1 Litro;Vermouth Perucchi Gran Reserva 1L es un vermut suave, fácil de beber. En nariz es intenso, con notas de roble y fruto seco (propios de la madera), fruta madura y especias. En boca es amargo y agradable.;https://www.decantalo.com/es/63108-large_default/vermouth-perucchi-gran-reserva.jpg;;https://www.decantalo.com/es/es/vermouth-perucchi-gran-reserva.html#/53-formato-1_litro/177-ano-sin_anada
Decantalo;Astobiza Vermouth Extra;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1.5 Litros (Magnum);Astobiza Vermouth Extra es un vermut de carácter atlántico y muy gastronómico que presenta un equilibrio excelente entre sus notas amargas, cítricas y herbales. Su paso por boca es limpio, fresco y largo. Un vermut premium que viene acompañado por una pequeña botella con vermut rojo que da la posibilidad de elaborar combinaciones que potencian su disfrute.;https://www.decantalo.com/es/45212-large_default/astobiza-vermouth-extra.jpg;;https://www.decantalo.com/es/es/astobiza-vermouth-extra.html#/1-formato-75_cl/140-outlet-outlet/177-ano-sin_anada
Decantalo;Vermut Peregrino Rojo;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1.5 Litros (Magnum);Vermú Peregrino Rojo seduce con su brillante color caoba y despliega en nariz aromas de fruta compotada, canela y delicados matices herbales que evocan la frescura de la uva godello. En boca, la dulzura de la fruta madura se encuentra con el amargor elegante del ajenjo, mientras su textura sedosa acaricia el paladar hasta un final persistente donde frutos secos y hierbas del Camino de Santiago dejan una huella memorable, ideal para compartir momentos de conversación, aperitivo o celebración tranquila.;https://www.decantalo.com/es/66285-large_default/vermut-peregrino-rojo.jpg;;https://www.decantalo.com/es/es/vermut-peregrino-rojo.html#/1-formato-75_cl/177-ano-sin_anada
Decantalo;Vermut;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1.5 Litros (Magnum);Decántalo es tu tienda de vinos para comprar vino online. Vino español, vino francés, vino italiano. En Decántalo puedes comprar vino de los principales países vinícolas. Porque amamos el vino tanto como tú. Bienvenido a Decántalo, tu tienda de vinos de confianza.;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/q/bodega_de-muller/
Decantalo;Lustau Vermut blanco;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);El Lustau Vermut blanco ofrece en nariz aromas muy florales, cítricos y herbáceos, con notas almendradas, un matiz balsámico y un sutil fondo mineral. En boca entra sápido y amargo de principio a fin, donde las notas del fino quedan de manifiesto haciéndolo a la vez ligero y refrescante.;https://www.decantalo.com/es/29403-large_default/lustau-vermut-blanco.jpg;;https://www.decantalo.com/es/es/lustau-vermut-blanco.html#/1-formato-75_cl/177-ano-sin_anada
Decantalo;Punt E Mes Vermouth;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);Punt E Mes es un vermut que tiene un color anaranjado con tonalidades topacio. En nariz ofrece aromas que recuerdan a hierbas medicinales, quina y clavo. Su entrada en boca es inicialmente dulce pero va dejando paso a las notas amargas características de las cortezas de naranja y acaba con un final aún más dulce. Se recomienda beber solo, con una cáscara de naranja o como base de cócteles como el Manhattan.;https://www.decantalo.com/es/13959-large_default/punt-e-mes-vermouth.jpg;;https://www.decantalo.com/es/es/punt-e-mes-vermouth.html#/1-formato-75_cl/177-ano-sin_anada
Decantalo;Vermut de Alemania;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);Decántalo es tu tienda de vinos para comprar vino online. Vino español, vino francés, vino italiano. En Decántalo puedes comprar vino de los principales países vinícolas. Porque amamos el vino tanto como tú. Bienvenido a Decántalo, tu tienda de vinos de confianza.;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/q/pais_alemania/
Decantalo;Vermut de la bodega Martínez Lacuesta;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1.5 Litros (Magnum);Decántalo es tu tienda de vinos para comprar vino online. Vino español, vino francés, vino italiano. En Decántalo puedes comprar vino de los principales países vinícolas. Porque amamos el vino tanto como tú. Bienvenido a Decántalo, tu tienda de vinos de confianza.;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/q/bodega_martinez-lacuesta/
Decantalo;Vermut Fernando de Castilla;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);Vermut Fernando de Castilla es un macerado donde las protagonistas indiscutibles son las notas del jerez envejecido. En nariz es cítrico y floral, con especias. En boca es dulce, largo y equilibrado. Final suave y untuoso.;https://www.decantalo.com/es/13958-large_default/vermut-fernando-de-castilla.jpg;;https://www.decantalo.com/es/es/vermut-fernando-de-castilla.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Vermouth Rojo La Copa Gonzalez Byass;10.6 €;10.6;Desconocida;;;España;Rojo / Negre;75 cl;"González Byass recupera la tradición de elaborar un Vermouth Rojo a partir de recetas históricas conservadas en los archivos de la bodega desde 1896. Elaborado a partir de nobles soleras de Olorosos y Pedro Ximenez, junto con una cuidada selección de 8 botánicos: Ajenjo, Ajedrea, Clavo, Naranja, Canela, Nuez Moscada, Angélica y Quina. Con 15,5 ºC de alcohol, es un aperitivo perfecto para recuperar la clásica ""hora del vermouth"" que mantiene la misma etiqueta de entonces.";https://www.bodeboca.com/sites/default/files/wines/2021-07/bot-vermouth-lacopa.jpg;;https://www.bodeboca.com/vino/vermouth-rojo-copa-gonzalez-byass#block-productratings
Decantalo;Vermut de la bodega Noilly Prat;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1.5 Litros (Magnum);Decántalo es tu tienda de vinos para comprar vino online. Vino español, vino francés, vino italiano. En Decántalo puedes comprar vino de los principales países vinícolas. Porque amamos el vino tanto como tú. Bienvenido a Decántalo, tu tienda de vinos de confianza.;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/q/bodega_noilly-prat/
Decantalo;Lustau Vermut Rojo;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1 Litro;Lustau Vermut Rojo es un vermut dulce. En nariz es intenso y complejo, con notas de fruta madura, cítricas y herbáceas sobre un fondo de madera ahumada. En boca es aterciopelado, suave y graso. Final avellanado y ligeramente amargo.;https://www.decantalo.com/es/15489-large_default/vermut-lustau-rojo.jpg;;https://www.decantalo.com/es/es/vermut-lustau-rojo.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Rosado;0,00 €;0.0;Desconocida;;;España;Blanco;1 Litro;"El vino rosado se ha quitado los complejos para convertirse en tendencia absoluta. Su consumo está asociado al buen tiempo y a la versatilidad. Y en Bodeboca puedes encontrarlos de todos los estilos: los pálidos, sutiles y florales al estilo Provenza, perfectos para el aperitivo; o los clásicos con más color, cuerpo y fruta, típicos de Navarra o Cigales, ideales para maridar con cualquier comida.

Para elaborarlos se utilizan principalmente uvas tintas como la Garnacha y la Tempranillo, aunque variedades internacionales como la Syrah, la Merlot o la Cabernet sauvignon aportan matices muy interesantes en sus coupages.

¿Buscas el glamour internacional? Viaja a la Costa Azul y descubre los afamados rosados de la Provenza francesa. O también puedes empezar por bodegas que dominan el arte del rosado como Chivite, Domaines Ott, Miraval o Muga.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/rosado
Bodeboca;Vermut rojo Domingo;10.5 €;10.5;Desconocida;;;España;Rojo / Negre;75 cl;Domingo es un homenaje al día del vermut por excelencia mediante una elaboración tradicional y artesana que combina excelentes vinos con una selección única de extractos de raíces, hojas y flores de plantas aromáticas y especias. Un tributo de Osborne a los bares de toda la vida, a lo clásico, y a las emociones que esos lugares y esos momentos representan. El vino base empleado en este vermut rojo es tratado cuidadosamente con el fin de conseguir un equilibrio con los botánicos sin que sobresalga uno por encima del otro, para ello se opta por una maceración en frío más respetuoso con los aromas de las hierbas y de las especias. El resultado es un vermut como los de siempre de paso dulce con un final elegantemente amargo que siempre invita a un trago más.;https://www.bodeboca.com/sites/default/files/wines/2021-07/bot-vermutrojodomigno.jpg;;https://www.bodeboca.com/vino/vermut-rojo-domingo#block-productratings
Bodeboca;Vermú Petroni Blanco;12.8 €;12.8;Desconocida;;;España;Rojo / Negre;75 cl;Tras una vinificación sobre lías de uvas de la variedad Albariño y una maceración en fresco de 28 plantas seleccionadas entre las que destacan el pimiento de Herbón-Padrón, nace St. Petroni Blanco, un vermú blanco de color amarillo pálido con toques minerales y destacadas notas cítricas y herbáceas muy frescas. De paso equilibrado, estructurado y muy fresco, destaca su posgusto amplio y elegante de golosina especiada.;https://www.bodeboca.com/sites/default/files/wines/2025-06/bot-petroni-blanco.jpg;;https://www.bodeboca.com/vino/vermu-petroni-blanco
Bodeboca;Vermut Lustau Rosé;13.75 €;13.75;Desconocida;;;España;Rojo / Negre;50 cl;Este vermut es la última incorporación de Lustau a su gama de aperitivos, que se elabora gracias a un equilibrado ensamblaje en el que se combinan Fino, Moscatel y Tintilla de Rota. Destacan sus aromas de fresa y azahar que preceden a un paso por boca sedoso y con un agradable dulzor. Se recomienda acompañar con hielo, tónica y una rodaja de pomelo rosa.;https://www.bodeboca.com/sites/default/files/wines/2021-07/bot-lustau-vermut-rose.jpg;;https://www.bodeboca.com/vino/vermut-lustau-rose
Bodeboca;Astobiza Vermouth Extra;20.25 €;20.25;Desconocida;;;España;Rojo / Negre;75 cl;"Un vermut de altos vuelos que ha sido seleccionado como el mejor vermut semidulce del mundo en los World Vermouth Awards 2021. Se trata del primer vermut blanco del mundo elaborado con Hondarrabi zuri, la uva protagonista en los txakolis alaveses. Se crea con el vino base que alberga la damajuana número 3 de las 12 que tiene la bodega, y se macera con botánicos entre los que destacan el ajenjo y los cítricos que redondean un trago perfecto no solo para degustar ""on the rocks"", sino también en coctelería e incluso como acompañante de comidas.";https://www.bodeboca.com/sites/default/files/wines/2021-04/bot-astobiza-vermouth-extra-sinbotellita.jpg;;https://www.bodeboca.com/vino/astobiza-vermouth-extra#block-productratings
Bodeboca;Vermouth Perucchi Gran Reserva 1L;14.9 €;14.9;Desconocida;;;España;Rojo / Negre;1 Litro;El auténtico bestseller de la firma fundada por Augustus Perucchi sigue siendo elaborado con su misma receta original. Más de 50 botánicos naturales, sin conservantes ni colorantes, y un envejecimiento de 3 años mediante el sistema de soleras en fudres de 9.000 litros con las madres de 1876, alumbran este vermut espectacular, equilibrado, ligeramente amargo pero, al mismo tiempo, suave al paladar.;https://www.bodeboca.com/sites/default/files/wines/2020-10/bot-vemouth-perucchi-gr.jpg;;https://www.bodeboca.com/vino/vermouth-perucchi-gran-reserva-1l#block-productratings
