Distribuidor;Nombre Referencia;Precio con IVA;Productor o Bodega;Ciudad;Región;País;Tipo de Vermut;Descripción;Notas de Cata;Foto Botella;Enlace Web Oficial
Bodeboca;Vermut Lustau Rojo;13.75 €;;;;España;Vermut Rojo;Lustau ha recuperado la tradición jerezana de elaborar un vermut en el que el vino local es el protagonista. Es un ensamblaje de dos vinos criados durante más de 10 años con el sistema de criaderas y soleras. Se trata de un vermut genuíno y con mucho carácter andaluz. Los comienzos de esta bodega fueron muy modestos. Al principio cultivaban sus propias viñas y elaboraba los vinos que después vendería a bodegas de renombre.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2021-11/bot-lustau-vermut.jpg;https://www.bodeboca.com/vino/vermut-lustau-rojo
Decántalo;Vermouth Martínez Lacuesta Rojo;7,95 €;"Bodega
Martínez Lacuesta";"Zona De Elaboración
La Rioja";;España;Vermut Rojo;Sin descripción;Vermouth Martínez Lacuesta Rojo es un vermut clásico. En nariz destacan sus aromas herbales con notas de ajenjo y mejorana. En boca es dulce y tradicional. Final amargo.;https://www.decantalo.com/es/13979-large_default/vermouth-martinez-lacuesta-rojo.jpg;https://www.decantalo.com/es/es/vermouth-martinez-lacuesta-rojo.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Vermut Luis XIV;18,00 €;;;;España;Vermut Rojo;Vermut rojo dulce elaborado a la manera tradicional de la zona del Alto Vinalopó de Alicante. Permanece madurando dos meses en toneles de roble americano centenario. Como curiosidad, la botella está serigrafiada con tinta especial luminiscente. Este proyecto de recuperación de la vitivinicultura tradicional del Alto Vinalopó se ha fraguado con la unión entre David Carbonell, enólogo alicantino, y las familias Ballester y Ferrero.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2024-02/bot-vermut-luis-xiv.png;https://www.bodeboca.com/vino/vermut-luis-xiv#block-productratings
Decántalo;Garvey Vermut Marinero;6,95 €;"Bodega
Bodegas Garvey";;;España;Vermut;Sin descripción;Garvey Vermut Marinero es un vermut complejo y muy especial, de color caoba brillante y limpio. En nariz se combinan los cítricos y la fruta blanca, con recuerdos a romero, gencia, salvia, algas y plancton. En boca es ácido y amargo, pero bien equilibrado. Potente. Abundan las notas salinas. Complejo. Final persistente e intenso con sabor marino.;https://www.decantalo.com/es/46002-large_default/garvey-vermut-marinero.jpg;https://www.decantalo.com/es/es/garvey-vermut-marinero.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Vermouth;0,00 €;;;;España;Vermut Rojo;"Nuestro gran catálogo de vinos siempre disponibles La hora del aperitivo tiene nombre propio: el vermut. Más que una bebida, es un ritual social que ha vuelto con más fuerza que nunca a nuestras barras y terrazas. En Bodeboca puedes encontrar vermuts para todos los gustos: los clásicos rojos de Reus, herbáceos y con ese punto dulce reconfortante; los blancos, más cítricos y ligeros; o los reservas, envejecidos en barrica para ganar complejidad y elegancia.

La base suele ser un vino blanco (de uvas como Macabeo, Airén o Albariño) macerado con una mezcla secreta de botánicos donde no puede faltar el ajenjo, junto a raíces, flores y especias. El color caoba del vermut rojo suele venir del caramelo añadido y/o de especias más oscuras e intensas (como la canela o el clavo).

¿Quieres probar otras referencias internacionales? Viaja con el paladar a Italia, concretamente a Turín, para degustar los estilos amargos que dieron origen a la leyenda. O también puedes empezar descubriendo marcas icónicas y artesanas como Lustau, Yzaguirre, St. Petroni o Carpano.";"La hora del aperitivo tiene nombre propio: el vermut. Más que una bebida, es un ritual social que ha vuelto con más fuerza que nunca a nuestras barras y terrazas. En Bodeboca puedes encontrar vermuts para todos los gustos: los clásicos rojos de Reus, herbáceos y con ese punto dulce reconfortante; los blancos, más cítricos y ligeros; o los reservas, envejecidos en barrica para ganar complejidad y elegancia.

La base suele ser un vino blanco (de uvas como Macabeo, Airén o Albariño) macerado con una mezcla secreta de botánicos donde no puede faltar el ajenjo, junto a raíces, flores y especias. El color caoba del vermut rojo suele venir del caramelo añadido y/o de especias más oscuras e intensas (como la canela o el clavo).

¿Quieres probar otras referencias internacionales? Viaja con el paladar a Italia, concretamente a Turín, para degustar los estilos amargos que dieron origen a la leyenda. O también puedes empezar descubriendo marcas icónicas y artesanas como Lustau, Yzaguirre, St. Petroni o Carpano. | Bodeboca.com © 2026 - Todos los derechos reservados";Sin foto;https://www.bodeboca.com/vino/vermut?algolia_index_top_rated%5Bpage%5D=1
Bodeboca;Vermut Golfo;18,53 €;;;;España;Vermut;Vermut elaborado con uvas sobremaduradas de la variedad Tempranillo cultivadas en la zona burgalesa de Quintana del Pidio. Tiene un color caoba con ligeros matices ambarinos. En nariz ofrece una gran intensidad aromática, con notas herbáceas bien ensambladas. En boca posee gran frescura. La bodega lo considera un vermut con alma sureña por su madurez y con un espíritu norteño por su frescura. Cillar de Silos es una bodega familiar asentada en la localidad de Quintana del Pidio. Pertenece a la familia Aragón, quien la fundó en el año 1994.;Vermut elaborado con uvas sobremaduradas de la variedad Tempranillo cultivadas en la zona burgalesa de Quintana del Pidio. Tiene un color caoba con ligeros matices ambarinos. En nariz ofrece una gran intensidad aromática, con notas herbáceas bien ensambladas. En boca posee gran frescura. La bodega lo considera un vermut con alma sureña por su madurez y con un espíritu norteño por su frescura. | Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2017-07/bot-vermut-golfo.jpg;https://www.bodeboca.com/vino/vermut-golfo
Decántalo;Vermouth Valdespino;6,95 €;"Bodega
Grupo Estévez";;;España;Vermut;Sin descripción;Vermouth Valdespino 75cl es un macerado con una clara identidad gracias al oloroso viejo de Jerez. En nariz es especiado, intenso, donde predominan las notas de oloroso. En boca es cítrico, con especias (clavo y genciana), que se redondea al final con un amargor elegante y final ligeramente dulce.;https://www.decantalo.com/es/36457-large_default/vermouth-valdespino.jpg;https://www.decantalo.com/es/es/vermouth-valdespino.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Vermouth Rojo La Copa Gonzalez Byass;14,13 €;;;;España;Vermut Rojo;"González Byass recupera la tradición de elaborar un Vermouth Rojo a partir de recetas históricas conservadas en los archivos de la bodega desde 1896. Elaborado a partir de nobles soleras de Olorosos y Pedro Ximenez, junto con una cuidada selección de 8 botánicos: Ajenjo, Ajedrea, Clavo, Naranja, Canela, Nuez Moscada, Angélica y Quina. Con 15,5 ºC de alcohol, es un aperitivo perfecto para recuperar la clásica ""hora del vermouth"" que mantiene la misma etiqueta de entonces. A blend of oloroso and Pedro Ximenez Sherries form the base of this plush, super-spiced sweet vermouth. Intense cinnamon and clove sing forward from start to finish, lifted by cocoa and dried fig.";Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2021-07/bot-vermouth-lacopa.jpg;https://www.bodeboca.com/vino/vermouth-rojo-copa-gonzalez-byass#block-productratings
Decántalo;Vermouth Yzaguirre Blanco;7,40 €;"Bodega
Vermut Yzaguirre";"Zona De Elaboración
Cataluña";;España;Vermut Blanco;Sin descripción;Vermouth Yzaguirre Blanco es un vermut clásico. En nariz es muy agradable y particular, con notas de hierbas aromáticas, balsámicas, especias, fruta escarchada, notas tropicales y flores. En boca es fresco y suave, donde predomina la canela y la vainilla. Sabroso y equilibrado.;https://www.decantalo.com/es/13978-large_default/vermouth-yzaguirre-blanco.jpg;https://www.decantalo.com/es/es/vermouth-yzaguirre-blanco.html#/53-formato-1_litro/177-ano-sin_anada
Decántalo;Fabio Coullet Vermouth;13,80 €;"Bodega
Bodegas Fabio Coullet";"Denominación De Origen
Do Málaga-Sierras De Málaga";"Denominación De Origen
Do Málaga-Sierras De Málaga";España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/59693-large_default/fabio-coullet-vermouth.jpg;https://www.decantalo.com/es/es/fabio-coullet-vermouth.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;Vermut de Capçanes;9,50 €;"Bodega
Celler De Capçanes";"Zona De Elaboración
Cataluña";;España;Vermut;Sin descripción;Vermut de Capçanes es un vermut color caoba, de cuerpo generoso y amplio. En nariz muestra una complejidad de aromas donde destacan la flor de sauce y la salvia acompañados por notas tostadas, de hierbas de montaña, caramelo o frutos secos. Su agradable paso por boca es resultado de su estupendo equilibrio entre amargor y dulzor.;https://www.decantalo.com/es/39031-large_default/vermut-de-capcanes.jpg;https://www.decantalo.com/es/es/vermut-de-capcanes.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Vermouth Rojo Osborne;13,20 €;;;;España;Vermut Rojo;Osborne, elaborador de vinos de Jerez desde 1722, rinde tributo a una tradición centenaria con este delicado vermut elaborado a partir de la combinación de sus famosos vinos de Jerez, Medium y Pedro Ximénez, que aportan un toque dulce, intenso y untuoso. De carácter aterciopleado, entre sus notas aromáticas destaca el ajenjo, la hierba gitanera y un toque especial de piel de naranja amarga. Un vermut genuinamente andaluz. ¿Quién no se ha encontrado en un viaje por carretera con la icónica figura del toro bravo? Reconocido por personas de todo el mundo, es la seña de identidad de Osborne, una de las empresas familiares en activo más antiguas del mundo.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2020-04/bot-vermouth-rojo-osborne.jpg;https://www.bodeboca.com/vino/vermouth-rojo-osborne
Decántalo;Vermut, o vermouth, una oda a l'hedonisme.;13,10 €;;;;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;https://www.decantalo.com/es/ca/vi/vermut/
Decántalo;Vermut de Alemania;0,00 €;;;;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;https://www.decantalo.com/es/es/vino/vermut/q/pais_alemania/
Bodeboca;Vermouth Perucchi Gran Reserva 1L;14,90 €;;;;España;Vermut Reserva;El auténtico bestseller de la firma fundada por Augustus Perucchi sigue siendo elaborado con su misma receta original. Más de 50 botánicos naturales, sin conservantes ni colorantes, y un envejecimiento de 3 años mediante el sistema de soleras en fudres de 9.000 litros con las madres de 1876, alumbran este vermut espectacular, equilibrado, ligeramente amargo pero, al mismo tiempo, suave al paladar. Perucchi está considerado el primer vermouth producido en España, algo que tuvo lugar en el año 1876 por parte de Augustus Perucchi.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2020-10/bot-vemouth-perucchi-gr.jpg;https://www.bodeboca.com/vino/vermouth-perucchi-gran-reserva-1l
Bodeboca;Vermouth La Copa Blanco;13,20 €;;;;España;Vermut Blanco;La primera referencia a vermuts que existe en el archivo de González Byass data de 1896. Este vermut blanco se elabora con una receta recuperada de dichos archivos históricos. Se crea con una mezcla de vinos finos seleccionados minuciosamente y con botánicos como ajenjo, ajedrea, nuez moscada, canela, clavo y naranja amarga. Una verdadera delicia tanto los más puristas como para los exploradores deseosos de probar un trago diferente. González Byass es seguramente el grupo bodeguero español más conocido en todo el mundo gracias a sus vinos de Jerez. Su historia comenzó cuando D. Manuel María González Ángel puso en marcha el negocio.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2023-05/bot-vermouth-lacopablanco.jpg;https://www.bodeboca.com/vino/vermouth-copa-blanco
Decántalo;Vermut Noilly Prat Rojo;14,80 €;"Bodega
Noilly Prat";;;España;Vermut Rojo;Sin descripción;Vermut Noilly Prat Rojo es un macerado semidulce y especiado, de color rubí muy vivo (con reflejos caobas). En nariz es complejo, con toques de clavo, flores (lavanda). En boca es muy sutil, con un poco de cacao amargo y un fondo muy rico. Simplemente fuerte pero muy elegante.;https://www.decantalo.com/es/47235-large_default/vermut-noilly-prat-rojo.jpg;https://www.decantalo.com/es/es/vermut-noilly-prat-rojo.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;61 Vermouth Verdejo;9,40 €;"Bodega
Bodega Cuatro Rayas";"Zona De Elaboración
Castilla Y León";;España;Vermut;Sin descripción;61 Vermouth Verdejo es un vermut con notas característicamente varietales de la uva verdejo, que también muestra aromas de monte bajo, con matices que recuerdan al hinojo, a la flor del saúco, al tomillo y al romero. Su paso por boca es equilibrado y muy agradable, con una nota balsámica que se corresponde a lo que muestra en nariz, un paso largo y un final sutilmente amargo.;https://www.decantalo.com/es/54161-large_default/61-vermouth-verdejo.jpg;https://www.decantalo.com/es/es/61-vermouth-verdejo.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;Vermut;13,40 €;;;;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;https://www.decantalo.com/es/es/vino/vermut/q/bodega_de-muller/
Bodeboca;Vermut Lustau Rosé;13.75 €;;;;España;Vermut Rosado;Este vermut es la última incorporación de Lustau a su gama de aperitivos, que se elabora gracias a un equilibrado ensamblaje en el que se combinan Fino, Moscatel y Tintilla de Rota. Destacan sus aromas de fresa y azahar que preceden a un paso por boca sedoso y con un agradable dulzor. Se recomienda acompañar con hielo, tónica y una rodaja de pomelo rosa. Los comienzos de esta bodega fueron muy modestos. Al principio cultivaban sus propias viñas y elaboraba los vinos que después vendería a bodegas de renombre.;Este vermut es la última incorporación de Lustau a su gama de aperitivos, que se elabora gracias a un equilibrado ensamblaje en el que se combinan Fino, Moscatel y Tintilla de Rota. Destacan sus aromas de fresa y azahar que preceden a un paso por boca sedoso y con un agradable dulzor. Se recomienda acompañar con hielo, tónica y una rodaja de pomelo rosa. | Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2021-07/bot-lustau-vermut-rose.jpg;https://www.bodeboca.com/vino/vermut-lustau-rose#block-productratings
Decántalo;Vermut de la bodega Noilly Prat;17,40 €;;;;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;https://www.decantalo.com/es/es/vino/vermut/q/bodega_noilly-prat/
Decántalo;Vermouth Carpano Classico;14,75 €;"Bodega
Carpano";;;España;Vermut;Sin descripción;Vermouth Carpano Classico es un vermut que en nariz ofrece aromas que recuerdan a la hierbas aromáticas secas acompañados por especias dulces y frutas confitadas y licorosas. Su paso por boca es redondo, cuenta con un buen equilibrio entre acidez y amargor y pasa persistente con un final afrutado.;https://www.decantalo.com/es/15463-large_default/vermouth-carpano-classico.jpg;https://www.decantalo.com/es/es/vermouth-carpano-classico.html#/53-formato-1_litro/177-ano-sin_anada
Decántalo;Vermut de la bodega Belsazar;0,00 €;;;;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;https://www.decantalo.com/es/es/vino/vermut/q/bodega_belsazar/
Bodeboca;Vermut rojo Domingo;14,00 €;;;;España;Vermut Rojo;Domingo es un homenaje al día del vermut por excelencia mediante una elaboración tradicional y artesana que combina excelentes vinos con una selección única de extractos de raíces, hojas y flores de plantas aromáticas y especias. Un tributo de Osborne a los bares de toda la vida, a lo clásico, y a las emociones que esos lugares y esos momentos representan. El vino base empleado en este vermut rojo es tratado cuidadosamente con el fin de conseguir un equilibrio con los botánicos sin que sobresalga uno por encima del otro, para ello se opta por una maceración en frío más respetuoso con los aromas de las hierbas y de las especias. El resultado es un vermut como los de siempre de paso dulce con un final elegantemente amargo que siempre invita a un trago más. ¿Quién no se ha encontrado en un viaje por carretera con la icónica figura del toro bravo? Reconocido por personas de todo el mundo, es la seña de identidad de Osborne, una de las empresas familiares en activo más antiguas del mundo.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2021-07/bot-vermutrojodomigno.jpg;https://www.bodeboca.com/vino/vermut-rojo-domingo#block-productratings
Decántalo;Vermut de Italia;10,10 €;;;;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;https://www.decantalo.com/es/es/vino/vermut/q/pais_italia/
Decántalo;Categoría: Vermut;13,10 €;;;;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;https://www.decantalo.com/es/es/vino/vermut/?top
Decántalo;Vermut de la bodega Pernod Ricard;12,10 €;;;;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;https://www.decantalo.com/es/es/vino/vermut/q/bodega_pernod-ricard/
Decántalo;Vermouth La Madre Negre;6,95 €;"Bodega
Vermouth La Madre";;;España;Vermut Rojo;Sin descripción;No disponibles;https://www.decantalo.com/es/65380-large_default/vermouth-la-madre-negre.jpg;https://www.decantalo.com/es/es/vermouth-la-madre-negre.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;Vermouth De Muller Iris Rojo;6,95 €;;;;España;Vermut Rojo;Sin descripción;No disponibles;https://www.decantalo.com/es/63878-large_default/vermouth-de-muller-iris-rojo.jpg;https://www.decantalo.com/es/es/vermouth-de-muller-iris-rojo.html#/1-formato-75_cl/140-outlet-outlet/177-ano-sin_anada
Decántalo;Vermouth Martínez Lacuesta Reserva;6,95 €;"15/04/2026
Electro Alavesa S.A.
Roberto
Para Mí Un  Vermout Magnífico 





04/12/2025
José Gabriel
Guevara Lizarduy
Buenas Relación Calidad Precio Y Con El Estilo Propio De Rioja





30/03/2025
Mariana
Hormigon Ausejo
Imprescindible





10/12/2024
María Antonia
Rodríguez
Increíblemente Irresistible 





29/09/2022
Angel
Cano Balbás
Excelente





08/09/2022
María Ángeles
Gonzalo García
No. Gracias





08/01/2021
J. Alvarez Tejera

Un Buen Vermouth Y Una Bodega Que Ofrece Calidad.




Cargar Más Opiniones Sobre Este Producto>";;;España;Vermut Reserva;Sin descripción;Vermouth Martínez Lacuesta Reserva es un vermut muy aromático y sabroso. En nariz destacan aromas tostados a hierbas de monte, roble y café. En boca es amargo, con recuerdos a fruta madura y especiados.;https://www.decantalo.com/es/15422-large_default/vermouth-martinez-lacuesta-reserva.jpg;https://www.decantalo.com/es/es/vermouth-martinez-lacuesta-reserva.html#/1-formato-75_cl/140-outlet-outlet/177-ano-sin_anada
Decántalo;Vermut de la bodega Carpano;14,60 €;;;;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;https://www.decantalo.com/es/es/vino/vermut/q/bodega_carpano/
Decántalo;Vermut Fernando de Castilla;15,95 €;"Bodega
Rey Fernando De Castilla";"Zona De Elaboración
Andalucía";;España;Vermut;Sin descripción;Vermut Fernando de Castilla es un macerado donde las protagonistas indiscutibles son las notas del jerez envejecido. En nariz es cítrico y floral, con especias. En boca es dulce, largo y equilibrado. Final suave y untuoso.;https://www.decantalo.com/es/13958-large_default/vermut-fernando-de-castilla.jpg;https://www.decantalo.com/es/es/vermut-fernando-de-castilla.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;Vermouth Yzaguirre Rojo;7,75 €;"Bodega
Vermut Yzaguirre";"Zona De Elaboración
Cataluña";;España;Vermut Rojo;Sin descripción;Vermouth Yzaguirre Rojo es un vermut dulce. En nariz es intenso, con notas de hierbas y especias- En boca es equilibrado, con un fino amargor final.;https://www.decantalo.com/es/15471-large_default/vermouth-yzaguirre-rojo.jpg;https://www.decantalo.com/es/es/vermouth-yzaguirre-rojo.html#/53-formato-1_litro/177-ano-sin_anada
Decántalo;Vermouth Rojo La Copa;6,95 €;;;;España;Vermut Rojo;Sin descripción;Vermouth Rojo La Copa es un macerado ligero. En nariz destacan aromas especiados, con sutiles notas de clavo, canela e hierbas silvestres. En boca es suave y elegante, con un suave amargor final.;https://www.decantalo.com/es/39028-large_default/vermouth-rojo-la-copa.jpg;https://www.decantalo.com/es/es/vermouth-rojo-la-copa.html#/1-formato-75_cl/140-outlet-outlet/177-ano-sin_anada
Decántalo;Can Rich Vermouth Premium;16,40 €;"Bodega
Can Rich";"Zona De Elaboración
Islas Baleares";;España;Vermut;Sin descripción;Can Rich Vermouth Premium se viste de rojo caoba con reflejos anaranjados, como un atardecer que se cuela en tu copa. Su nariz fresca y envolvente combina naranjas confitadas, ajenjo, tomillo y un susurro de lavanda. En boca es redondo y amable, con un dulzor seductor que coquetea con un amargor elegante, mientras las notas especiadas y balsámicas recorren cada sorbo. Ideal para abrir la tarde en buena compañía o simplemente para dejarte llevar por su carácter mediterráneo. | Can Rich Vermouth Premium es un homenaje al Mediterráneo en formato aperitivo. Elaborado con vino ecológico de la Tierra de Ibiza y aromatizado con hierbas autóctonas y especias selectas, despliega una nariz atractiva y fresca, con un perfil equilibrado y complejo. Su color tinto profundo y su suavidad en boca reflejan la identidad de la isla: cálida, vibrante y llena de matices. Con un embotellado muy limitado, es un vermut artesanal que conserva la esencia de Ibiza en cada detalle.;https://www.decantalo.com/es/71008-large_default/can-rich-vermouth-premium.jpg;https://www.decantalo.com/es/es/can-rich-vermouth-premium.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;Vermut Blanco Nordés;12,95 €;"Bodega
Galician Original Drinks";"Zona De Elaboración
Galicia";;España;Vermut Blanco;Sin descripción;No disponibles;https://www.decantalo.com/es/67192-large_default/vermut-blanco-nordes.jpg;https://www.decantalo.com/es/es/vermut-blanco-nordes.html#/53-formato-1_litro/177-ano-sin_anada
Decántalo;Vermouth Belsazar Dry;6,95 €;"Bodega
Belsazar";;;España;Vermut;Sin descripción;Vermouth Belsazar Dry es un vermut refinado y complejo que en nariz ofrece notas vínicas similares a las de espumosos añejos acompañados por aromas de frutas de verano, manzanilla y levadura que dan paso a notas amargas de naranja sevillana, genciana y ajenjo. En boca tiene una entrada sedosa, delicadamente seca, amarga y ácida que muestra sabores que recuerdan a las frutas tropicales.;https://www.decantalo.com/es/13949-large_default/vermouth-belsazar-dry.jpg;https://www.decantalo.com/es/es/vermouth-belsazar-dry.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;Vermut Atamán;14,40 €;"Bodega
Barbadillo";"Zona De Elaboración
Andalucía";;España;Vermut;Sin descripción;Vermut Atamán es un macerado fuerte y amargo. En nariz es dulce, con recuerdos a frutas escarchadas, especias y cítricos. En boca es ácido, destacando los aromas a ajenjo, quassia, naranja amarga, romero y bayas de saúco.;https://www.decantalo.com/es/39029-large_default/vermut-ataman.jpg;https://www.decantalo.com/es/es/vermut-ataman.html#/29-formato-50_cl/177-ano-sin_anada
Decántalo;Raimat El Polvorí Vermut;10,50 €;"Bodega
Raimat";"Zona De Elaboración
Cataluña";;España;Vermut;Sin descripción;Raimat El Polvorí Vermut es un vermut de atractivo color ambarino con matices que evolucionan hacia un tono teja, mostrándose nítido y brillante a la vista. En la nariz, los sutiles toques de madera y especias se entrelazan armoniosamente con la frescura de las hierbas naturales del bosque, creando una experiencia sensorial única. Al llegar a la boca, revela su complejidad y carácter distintivo. El equilibrio perfecto entre sus elementos lo hace cautivador, mientras que su gran persistencia deja una impresión duradera en el paladar.;https://www.decantalo.com/es/60186-large_default/raimat-el-polvori-vermut.jpg;https://www.decantalo.com/es/es/raimat-el-polvori-vermut.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;61 Vermouth Tempranillo;13,20 €;;;;España;Vermut;Este producto se presenta como un vermouth de bodega con carácter 100% Tempranillo. Está elaborado a partir de un tinto seleccionado entre los mejores majuelos de pueblos que son sinónimos de buen vino: La Seca, Medina del Campo, Pozal de Gallinas, Serrada y Villanueva de Duero. Aromatizado con botánicos, hereda su nombre del primigenio depósito 61 de Bodega Cuatro Rayas. Con más de 80 años de historia a sus espaldas, esta bodega es una de las más potentes de la Denominación de Origen Rueda. Allí elaboran hasta 15 millones de botellas cada añada.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2021-09/bot-61-vermouth-tempranillo.jpg;https://www.bodeboca.com/vino/61-vermouth-tempranillo
Decántalo;Álvaro Domecq Vermut La Janda;6,95 €;"Bodega
Álvaro Domecq";"Zona De Elaboración
Andalucía";;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/56929-large_default/alvaro-domecq-vermut-la-janda.jpg;https://www.decantalo.com/es/es/alvaro-domecq-vermut-la-janda.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;Vermouth Yzaguirre Rojo Reserva;11,80 €;"Bodega
Vermut Yzaguirre";"Zona De Elaboración
Cataluña";;España;Vermut Rojo;Sin descripción;Vermouth Yzaguirre Rojo Reserva es muy aromático. En nariz es punzante con notas propias de la madera (café) que se mezclan con notas a fruta madura. En boca es aterciopelado y agradable, con persistencia de la madera y especias. Sabroso y con buena acidez. Final largo y carnoso. Complejo y dulce.;https://www.decantalo.com/es/15465-large_default/vermouth-yzaguirre-rojo-reserva.jpg;https://www.decantalo.com/es/es/vermouth-yzaguirre-rojo-reserva.html#/53-formato-1_litro/177-ano-sin_anada
Decántalo;Lustau Vermut Rosé;12,50 €;"Bodega
Lustau";"Zona De Elaboración
Andalucía";;España;Vermut Rosado;Sin descripción;El Lustau Vermut Rosé ofrece en nariz aromas que recuerdan a las fresas silvestres, la flor de azahar y la fruta escarchada acompañados por notas de pastelería y matices almendrados, florales y herbáceos. En boca se presenta con un agradable dulzor y delicadeza donde se expresan notas especiadas y herbáceas, un amargor sutil y bien integrado y un paso suave y sedoso.;https://www.decantalo.com/es/26312-large_default/vermut-lustau-rose.jpg;https://www.decantalo.com/es/es/vermut-lustau-rose.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;El Bandarra Vermut 1L;9,40 €;;;;España;Vermut Blanco;El Bandarra es el vermut del proyecto Democratic Wine perfecto para disfrutar en una terracita, con jaleo y buen rollo. Lo elaboran los chicos de Casa Berger macerando su vino blanco con más de 50 extractos de hierbas, flores, botánicos y especias naturales como el clavo, la canela, la vainilla, cardamomo y naranja amarga. Después de fortificar el vino, se le da un toque de caramelo y se termina de domar en barricas de roble con soleras durante 1 o 2 meses. En cata destaca su bonito color caoba con reflejos anaranjados. En nariz aporta aromas de regaliz, toques cítricos y clavo, y en boca tiene una entrada muy suave y golosa con un posgusto amable, ligero y persistente. Presentado en formato de 1 litro.;En cata destaca su bonito color caoba con reflejos anaranjados. En nariz aporta aromas de regaliz, toques cítricos y clavo, y en boca tiene una entrada muy suave y golosa con un posgusto amable, ligero y persistente. Presentado en formato de 1 litro. | Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2016-06/bot-el-bandarra-vermut-100cl-nueva.jpg;https://www.bodeboca.com/vino/el-bandarra-vermut-1l
Bodeboca;Vermouth Pérez Barquero;12,67 €;;;;España;Vermut;Vermouth Pérez Barquero se elabora con vino de uvas Pedro Ximénez de la Sierra de Montilla. El vino pasó por las tradicionales tinajas de la zona en las que adquirió propiedades de su corta pero intensa crianza biológica. Actualmente, Bodegas Pérez Barquero pertenece a tres familias de la zona: Córdoba, Ruz y Gracia. Juntos engloban el Grupo Pérez Barquero con cuatro bodegas en Montilla-Moriles.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2019-05/bot-vermuth-barquero-2022.jpg;https://www.bodeboca.com/vino/vermouth-perez-barquero
Decántalo;Lustau Vermut Rojo;11,80 €;"Bodega
Lustau";"Zona De Elaboración
Andalucía";;España;Vermut Rojo;Sin descripción;Lustau Vermut Rojo es un vermut dulce. En nariz es intenso y complejo, con notas de fruta madura, cítricas y herbáceas sobre un fondo de madera ahumada. En boca es aterciopelado, suave y graso. Final avellanado y ligeramente amargo.;https://www.decantalo.com/es/15489-large_default/vermut-lustau-rojo.jpg;https://www.decantalo.com/es/es/vermut-lustau-rojo.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;Vermouth La Madre Premium;6,95 €;"Bodega
Vermouth La Madre";;;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/65379-large_default/vermouth-la-madre-premium.jpg;https://www.decantalo.com/es/es/vermouth-la-madre-premium.html#/1-formato-75_cl/177-ano-sin_anada
